...Utils file loaded	
...running on GPU	
training model with learning rate = 0.050, K = 10, J = 20, threshold = 0.010, embedding size = 50, and batch size = 200...	
Running BOW model	
Epoch 42, epsilon = 0.160, sum(y)/len(y) = 275/1000, {Recall = 0.459032, Precision = 0.418158, F1 = 0.437643}, query = aurora	
Epoch 43, epsilon = 0.140, sum(y)/len(y) = 300/1000, {Recall = 0.475803, Precision = 0.399437, F1 = 0.434288}, query = aurora	
Epoch 44, epsilon = 0.120, sum(y)/len(y) = 414/1000, {Recall = 0.575467, Precision = 0.345711, F1 = 0.431937}, query = aurora	
Epoch 45, epsilon = 0.100, sum(y)/len(y) = 535/1000, {Recall = 0.614279, Precision = 0.288090, F1 = 0.392229}, query = aurora	
Epoch 46, epsilon = 0.100, sum(y)/len(y) = 530/1000, {Recall = 0.612362, Precision = 0.289599, F1 = 0.393231}, query = aurora	
Epoch 47, epsilon = 0.100, sum(y)/len(y) = 825/1000, {Recall = 0.709152, Precision = 0.217296, F1 = 0.332659}, query = aurora	
Epoch 48, epsilon = 0.100, sum(y)/len(y) = 886/1000, {Recall = 0.717298, Precision = 0.203563, F1 = 0.317127}, query = aurora	
Epoch 49, epsilon = 0.100, sum(y)/len(y) = 811/1000, {Recall = 0.710589, Precision = 0.220357, F1 = 0.336396}, query = aurora	
Epoch 50, epsilon = 0.100, sum(y)/len(y) = 874/1000, {Recall = 0.716818, Precision = 0.205947, F1 = 0.319966}, query = aurora	
Epoch 51, epsilon = 0.100, sum(y)/len(y) = 842/1000, {Recall = 0.710589, Precision = 0.212130, F1 = 0.326724}, query = aurora	
Epoch 52, epsilon = 0.100, sum(y)/len(y) = 695/1000, {Recall = 0.683757, Precision = 0.248217, F1 = 0.364216}, query = aurora	
Epoch 53, epsilon = 0.100, sum(y)/len(y) = 730/1000, {Recall = 0.684715, Precision = 0.235072, F1 = 0.349988}, query = aurora	
Epoch 54, epsilon = 0.100, sum(y)/len(y) = 819/1000, {Recall = 0.709152, Precision = 0.217551, F1 = 0.332958}, query = aurora	
Epoch 55, epsilon = 0.100, sum(y)/len(y) = 690/1000, {Recall = 0.687590, Precision = 0.252020, F1 = 0.368847}, query = aurora	
Epoch 56, epsilon = 0.100, sum(y)/len(y) = 747/1000, {Recall = 0.697173, Precision = 0.234677, F1 = 0.351152}, query = aurora	
Epoch 57, epsilon = 0.100, sum(y)/len(y) = 671/1000, {Recall = 0.671778, Precision = 0.251480, F1 = 0.365962}, query = aurora	
Epoch 58, epsilon = 0.100, sum(y)/len(y) = 719/1000, {Recall = 0.690465, Precision = 0.241779, F1 = 0.358146}, query = aurora	
Epoch 59, epsilon = 0.100, sum(y)/len(y) = 619/1000, {Recall = 0.667944, Precision = 0.268645, F1 = 0.383178}, query = aurora	
Epoch 60, epsilon = 0.100, sum(y)/len(y) = 534/1000, {Recall = 0.630570, Precision = 0.300046, F1 = 0.406612}, query = aurora	
Epoch 61, epsilon = 0.100, sum(y)/len(y) = 519/1000, {Recall = 0.622425, Precision = 0.300625, F1 = 0.405431}, query = aurora	
Epoch 62, epsilon = 0.100, sum(y)/len(y) = 755/1000, {Recall = 0.697652, Precision = 0.232737, F1 = 0.349035}, query = aurora	
Epoch 63, epsilon = 0.100, sum(y)/len(y) = 716/1000, {Recall = 0.690944, Precision = 0.242720, F1 = 0.359243}, query = aurora	
Epoch 64, epsilon = 0.100, sum(y)/len(y) = 651/1000, {Recall = 0.671299, Precision = 0.259348, F1 = 0.374149}, query = aurora	
Epoch 65, epsilon = 0.100, sum(y)/len(y) = 608/1000, {Recall = 0.657882, Precision = 0.275205, F1 = 0.388072}, query = aurora	
Epoch 66, epsilon = 0.100, sum(y)/len(y) = 667/1000, {Recall = 0.676569, Precision = 0.254736, F1 = 0.370118}, query = aurora	
Epoch 67, epsilon = 0.100, sum(y)/len(y) = 642/1000, {Recall = 0.664590, Precision = 0.259543, F1 = 0.373301}, query = aurora	
Epoch 68, epsilon = 0.100, sum(y)/len(y) = 602/1000, {Recall = 0.657403, Precision = 0.272222, F1 = 0.385015}, query = aurora	
Epoch 69, epsilon = 0.100, sum(y)/len(y) = 623/1000, {Recall = 0.659799, Precision = 0.265676, F1 = 0.378817}, query = aurora	
Epoch 70, epsilon = 0.100, sum(y)/len(y) = 579/1000, {Recall = 0.639674, Precision = 0.275542, F1 = 0.385170}, query = aurora	
Epoch 71, epsilon = 0.100, sum(y)/len(y) = 683/1000, {Recall = 0.677048, Precision = 0.248943, F1 = 0.364035}, query = aurora	
Epoch 72, epsilon = 0.100, sum(y)/len(y) = 555/1000, {Recall = 0.631529, Precision = 0.285343, F1 = 0.393081}, query = aurora	
Epoch 73, epsilon = 0.100, sum(y)/len(y) = 624/1000, {Recall = 0.657403, Precision = 0.262383, F1 = 0.375068}, query = aurora	
Epoch 74, epsilon = 0.100, sum(y)/len(y) = 581/1000, {Recall = 0.643028, Precision = 0.276987, F1 = 0.387190}, query = aurora	
Epoch 75, epsilon = 0.100, sum(y)/len(y) = 765/1000, {Recall = 0.698610, Precision = 0.229101, F1 = 0.345048}, query = aurora	
Epoch 76, epsilon = 0.100, sum(y)/len(y) = 659/1000, {Recall = 0.676569, Precision = 0.258371, F1 = 0.373941}, query = aurora	
Epoch 77, epsilon = 0.100, sum(y)/len(y) = 624/1000, {Recall = 0.662674, Precision = 0.266474, F1 = 0.380102}, query = aurora	
Epoch 78, epsilon = 0.100, sum(y)/len(y) = 475/1000, {Recall = 0.588884, Precision = 0.319138, F1 = 0.413944}, query = aurora	
Epoch 79, epsilon = 0.100, sum(y)/len(y) = 608/1000, {Recall = 0.644466, Precision = 0.269054, F1 = 0.379622}, query = aurora	
Epoch 80, epsilon = 0.100, sum(y)/len(y) = 630/1000, {Recall = 0.644945, Precision = 0.258449, F1 = 0.369020}, query = aurora	
Epoch 81, epsilon = 0.100, sum(y)/len(y) = 543/1000, {Recall = 0.620987, Precision = 0.290063, F1 = 0.395423}, query = aurora	
Epoch 82, epsilon = 0.100, sum(y)/len(y) = 550/1000, {Recall = 0.630570, Precision = 0.290829, F1 = 0.398064}, query = aurora	
Epoch 83, epsilon = 0.100, sum(y)/len(y) = 548/1000, {Recall = 0.627216, Precision = 0.288962, F1 = 0.395648}, query = aurora	
Epoch 84, epsilon = 0.100, sum(y)/len(y) = 538/1000, {Recall = 0.604217, Precision = 0.284714, F1 = 0.387047}, query = aurora	
