...Utils file loaded	
...running on GPU	
training model with learning rate = 0.050, K = 10, J = 20, threshold = 0.010, embedding size = 50, and batch size = 200...	
Running BOW model	
Epoch 42, epsilon = 0.160, sum(y)/len(y) = 194/1000, {Recall = 0.410158, Precision = 0.515042, F1 = 0.456655}, query = aurora	
Epoch 43, epsilon = 0.140, sum(y)/len(y) = 701/1000, {Recall = 0.682319, Precision = 0.243502, F1 = 0.358916}, query = aurora	
Epoch 44, epsilon = 0.120, sum(y)/len(y) = 205/1000, {Recall = 0.446095, Precision = 0.523622, F1 = 0.481759}, query = aurora	
Epoch 45, epsilon = 0.100, sum(y)/len(y) = 312/1000, {Recall = 0.520364, Precision = 0.398971, F1 = 0.451653}, query = aurora	
Epoch 46, epsilon = 0.100, sum(y)/len(y) = 313/1000, {Recall = 0.507427, Precision = 0.389625, F1 = 0.440791}, query = aurora	
Epoch 47, epsilon = 0.100, sum(y)/len(y) = 393/1000, {Recall = 0.564926, Precision = 0.357381, F1 = 0.437802}, query = aurora	
Epoch 48, epsilon = 0.100, sum(y)/len(y) = 508/1000, {Recall = 0.611404, Precision = 0.297159, F1 = 0.399937}, query = aurora	
Epoch 49, epsilon = 0.100, sum(y)/len(y) = 425/1000, {Recall = 0.584571, Precision = 0.340307, F1 = 0.430183}, query = aurora	
Epoch 50, epsilon = 0.100, sum(y)/len(y) = 416/1000, {Recall = 0.573551, Precision = 0.337373, F1 = 0.424845}, query = aurora	
Epoch 51, epsilon = 0.100, sum(y)/len(y) = 355/1000, {Recall = 0.535218, Precision = 0.366831, F1 = 0.435308}, query = aurora	
Epoch 52, epsilon = 0.100, sum(y)/len(y) = 277/1000, {Recall = 0.525156, Precision = 0.479860, F1 = 0.501487}, query = aurora	
Epoch 53, epsilon = 0.100, sum(y)/len(y) = 711/1000, {Recall = 0.677048, Precision = 0.238401, F1 = 0.352633}, query = aurora	
Epoch 54, epsilon = 0.100, sum(y)/len(y) = 222/1000, {Recall = 0.452803, Precision = 0.477755, F1 = 0.464945}, query = aurora	
Epoch 55, epsilon = 0.100, sum(y)/len(y) = 245/1000, {Recall = 0.497844, Precision = 0.485741, F1 = 0.491718}, query = aurora	
Epoch 56, epsilon = 0.100, sum(y)/len(y) = 202/1000, {Recall = 0.414950, Precision = 0.480577, F1 = 0.445359}, query = aurora	
Epoch 57, epsilon = 0.100, sum(y)/len(y) = 237/1000, {Recall = 0.463824, Precision = 0.480874, F1 = 0.472195}, query = aurora	
