epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query
38; 0.620; 0.000054; 0.031730; 0.175423; 0.130899; 0.075540; 0.490000; {min=-0.036, max=0.019}; {min=-0.036, max=0.022}; 91; 108; 1
39; 0.610; 0.000050; 0.031730; 0.175423; 0.130899; 0.075540; 0.490000; {min=-0.036, max=0.019}; {min=-0.036, max=0.028}; 93; 106; 1
40; 0.600; 0.000057; 0.031730; 0.175423; 0.128228; 0.073998; 0.480000; {min=-0.038, max=0.019}; {min=-0.036, max=0.020}; 88; 111; 1
41; 0.590; 0.000048; 0.031730; 0.175423; 0.128228; 0.073998; 0.480000; {min=-0.038, max=0.019}; {min=-0.035, max=0.021}; 87; 112; 1
42; 0.580; 0.000047; 0.031730; 0.175423; 0.129118; 0.074512; 0.483333; {min=-0.041, max=0.019}; {min=-0.035, max=0.027}; 92; 107; 1
43; 0.570; 0.000047; 0.031730; 0.175423; 0.126447; 0.072970; 0.473333; {min=-0.041, max=0.019}; {min=-0.048, max=0.026}; 88; 111; 1
44; 0.560; 0.000040; 0.031730; 0.175423; 0.126447; 0.072970; 0.473333; {min=-0.041, max=0.019}; {min=-0.048, max=0.027}; 88; 111; 1
45; 0.550; 0.000048; 0.031730; 0.175423; 0.128228; 0.073998; 0.480000; {min=-0.039, max=0.019}; {min=-0.048, max=0.026}; 85; 114; 1
46; 0.540; 0.000048; 0.031730; 0.175423; 0.130899; 0.075540; 0.490000; {min=-0.036, max=0.019}; {min=-0.047, max=0.026}; 87; 112; 1
47; 0.530; 0.000043; 0.031730; 0.175423; 0.128228; 0.073998; 0.480000; {min=-0.039, max=0.019}; {min=-0.048, max=0.026}; 84; 115; 1
48; 0.520; 0.000046; 0.031730; 0.175423; 0.122885; 0.070915; 0.460000; {min=-0.036, max=0.019}; {min=-0.047, max=0.026}; 85; 114; 1
49; 0.510; 0.000040; 0.031730; 0.175423; 0.128228; 0.073998; 0.480000; {min=-0.038, max=0.019}; {min=-0.046, max=0.025}; 86; 113; 1
50; 0.500; 0.000044; 0.031730; 0.175423; 0.128228; 0.073998; 0.480000; {min=-0.040, max=0.019}; {min=-0.040, max=0.026}; 97; 102; 1
51; 0.490; 0.000041; 0.031730; 0.175423; 0.123776; 0.071429; 0.463333; {min=-0.037, max=0.019}; {min=-0.033, max=0.026}; 103; 96; 1
52; 0.480; 0.000038; 0.031730; 0.175423; 0.128228; 0.073998; 0.480000; {min=-0.040, max=0.019}; {min=-0.033, max=0.026}; 99; 100; 1
53; 0.470; 0.000045; 0.031730; 0.175423; 0.126447; 0.072970; 0.473333; {min=-0.040, max=0.019}; {min=-0.034, max=0.025}; 103; 96; 1
54; 0.460; 0.000048; 0.031730; 0.175423; 0.128228; 0.073998; 0.480000; {min=-0.040, max=0.019}; {min=-0.042, max=0.025}; 92; 107; 1
55; 0.450; 0.000036; 0.031730; 0.175423; 0.120214; 0.069373; 0.450000; {min=-0.036, max=0.019}; {min=-0.025, max=0.029}; 73; 126; 1
56; 0.440; 0.000040; 0.031730; 0.175423; 0.122885; 0.070915; 0.460000; {min=-0.037, max=0.019}; {min=-0.032, max=0.025}; 100; 99; 1
57; 0.430; 0.000037; 0.031730; 0.175423; 0.132680; 0.076567; 0.496667; {min=-0.042, max=0.019}; {min=-0.032, max=0.024}; 98; 101; 1
58; 0.420; 0.000038; 0.031730; 0.175423; 0.123776; 0.071429; 0.463333; {min=-0.037, max=0.019}; {min=-0.031, max=0.024}; 97; 102; 1
59; 0.410; 0.000037; 0.031730; 0.175423; 0.134461; 0.077595; 0.503333; {min=-0.040, max=0.019}; {min=-0.032, max=0.023}; 94; 105; 1
60; 0.400; 0.000044; 0.031730; 0.175423; 0.128228; 0.073998; 0.480000; {min=-0.038, max=0.019}; {min=-0.033, max=0.023}; 92; 107; 1
61; 0.390; 0.000032; 0.031730; 0.175423; 0.129118; 0.074512; 0.483333; {min=-0.039, max=0.019}; {min=-0.031, max=0.024}; 99; 100; 1
62; 0.380; 0.000036; 0.031730; 0.175423; 0.129118; 0.074512; 0.483333; {min=-0.039, max=0.019}; {min=-0.031, max=0.024}; 98; 101; 1
63; 0.370; 0.000041; 0.031730; 0.175423; 0.130009; 0.075026; 0.486667; {min=-0.039, max=0.019}; {min=-0.031, max=0.029}; 104; 95; 1
