epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query
12; 0.880; 0.002089; 0.045147; 0.080512; 0.044394; 0.023525; 0.393333; {min=-0.012, max=0.006}; {min=-0.160, max=0.126}; 100; 99; 3
13; 0.870; 0.002170; 0.045147; 0.175423; 0.115761; 0.066804; 0.433333; {min=-0.034, max=0.019}; {min=-0.166, max=0.116}; 98; 101; 1
13; 0.870; 0.001896; 0.045147; 0.383532; 0.203684; 0.150883; 0.313333; {min=-0.061, max=0.039}; {min=-0.172, max=0.155}; 96; 103; 2
13; 0.870; 0.002127; 0.045147; 0.080512; 0.044394; 0.023525; 0.393333; {min=-0.012, max=0.006}; {min=-0.159, max=0.132}; 99; 100; 3
14; 0.860; 0.002277; 0.045147; 0.175423; 0.115761; 0.066804; 0.433333; {min=-0.035, max=0.019}; {min=-0.164, max=0.115}; 98; 101; 1
14; 0.860; 0.002120; 0.045147; 0.383532; 0.203684; 0.150883; 0.313333; {min=-0.061, max=0.039}; {min=-0.173, max=0.154}; 97; 102; 2
14; 0.860; 0.002128; 0.045147; 0.080512; 0.044394; 0.023525; 0.393333; {min=-0.012, max=0.006}; {min=-0.159, max=0.131}; 100; 99; 3
15; 0.850; 0.002439; 0.045147; 0.175423; 0.115761; 0.066804; 0.433333; {min=-0.034, max=0.019}; {min=-0.168, max=0.114}; 98; 101; 1
15; 0.850; 0.002166; 0.045147; 0.383532; 0.203684; 0.150883; 0.313333; {min=-0.061, max=0.039}; {min=-0.173, max=0.151}; 97; 102; 2
15; 0.850; 0.001972; 0.045147; 0.080512; 0.044018; 0.023325; 0.390000; {min=-0.013, max=0.006}; {min=-0.156, max=0.118}; 97; 102; 3
16; 0.840; 0.002273; 0.045147; 0.175423; 0.115761; 0.066804; 0.433333; {min=-0.037, max=0.019}; {min=-0.167, max=0.111}; 96; 103; 1
16; 0.840; 0.001840; 0.045147; 0.383532; 0.203684; 0.150883; 0.313333; {min=-0.061, max=0.039}; {min=-0.176, max=0.149}; 99; 100; 2
16; 0.840; 0.002501; 0.045147; 0.080512; 0.044018; 0.023325; 0.390000; {min=-0.013, max=0.006}; {min=-0.157, max=0.116}; 96; 103; 3
17; 0.830; 0.001777; 0.045147; 0.175423; 0.115761; 0.066804; 0.433333; {min=-0.035, max=0.019}; {min=-0.163, max=0.112}; 98; 101; 1
17; 0.830; 0.001981; 0.045147; 0.383532; 0.203684; 0.150883; 0.313333; {min=-0.061, max=0.039}; {min=-0.177, max=0.145}; 98; 101; 2
17; 0.830; 0.001611; 0.045147; 0.080512; 0.044018; 0.023325; 0.390000; {min=-0.013, max=0.006}; {min=-0.157, max=0.114}; 96; 103; 3
18; 0.820; 0.002001; 0.045147; 0.175423; 0.115761; 0.066804; 0.433333; {min=-0.037, max=0.019}; {min=-0.164, max=0.111}; 98; 101; 1
18; 0.820; 0.002116; 0.045147; 0.383532; 0.203684; 0.150883; 0.313333; {min=-0.061, max=0.039}; {min=-0.177, max=0.142}; 99; 100; 2
18; 0.820; 0.002025; 0.045147; 0.080512; 0.044018; 0.023325; 0.390000; {min=-0.013, max=0.006}; {min=-0.156, max=0.114}; 95; 104; 3
19; 0.810; 0.002209; 0.045147; 0.175423; 0.115761; 0.066804; 0.433333; {min=-0.037, max=0.019}; {min=-0.163, max=0.108}; 95; 104; 1
19; 0.810; 0.001904; 0.045147; 0.383532; 0.203684; 0.150883; 0.313333; {min=-0.061, max=0.039}; {min=-0.177, max=0.139}; 98; 101; 2
19; 0.810; 0.001707; 0.045147; 0.080512; 0.044018; 0.023325; 0.390000; {min=-0.013, max=0.006}; {min=-0.155, max=0.114}; 92; 107; 3
20; 0.800; 0.002054; 0.045147; 0.175423; 0.115761; 0.066804; 0.433333; {min=-0.037, max=0.019}; {min=-0.163, max=0.107}; 95; 104; 1
20; 0.800; 0.001643; 0.045147; 0.383532; 0.212351; 0.157303; 0.326667; {min=-0.064, max=0.039}; {min=-0.178, max=0.134}; 100; 99; 2
20; 0.800; 0.001959; 0.045147; 0.080512; 0.044018; 0.023325; 0.390000; {min=-0.013, max=0.006}; {min=-0.154, max=0.113}; 94; 105; 3
21; 0.790; 0.002112; 0.045147; 0.175423; 0.115761; 0.066804; 0.433333; {min=-0.037, max=0.019}; {min=-0.158, max=0.108}; 95; 104; 1
21; 0.790; 0.001952; 0.045147; 0.383532; 0.221018; 0.163724; 0.340000; {min=-0.066, max=0.039}; {min=-0.178, max=0.130}; 101; 98; 2
21; 0.790; 0.001839; 0.045147; 0.080512; 0.044018; 0.023325; 0.390000; {min=-0.013, max=0.006}; {min=-0.154, max=0.112}; 93; 106; 3
