...Utils file loaded	
...running on CPU	
training model with metric = f1, learning rate = 0.100, K = 20, J = 10, threshold = 0.000, embedding size = 50	
Running LSTM model	
Epoch 43, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 44, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 45, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 46, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 47, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 48, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 49, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 50, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 51, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 52, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 53, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 54, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 55, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 56, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 57, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 58, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 59, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 60, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 61, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 62, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 63, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 64, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 65, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 66, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 67, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 68, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 69, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 70, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 71, epsilon = 0.000, sum(y)/len(y) = 98/999, {Recall = 0.379492, Precision = 0.551532, F1 = 0.449617}, query = aurora	
Epoch 72, epsilon = 0.000, sum(y)/len(y) = 997/999, {Recall = 0.796838, Precision = 0.118990, F1 = 0.207060}, query = aurora	
Epoch 73, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 74, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 75, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 76, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 77, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 78, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 79, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 80, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 81, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 82, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 83, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 84, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 85, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 86, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 87, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 88, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 89, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 90, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 91, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 92, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 93, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 94, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 95, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 96, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 97, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 98, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 99, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 100, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
