...Utils file loaded	
...running on CPU	
training model with metric = f1, learning rate = 0.100, K = 20, J = 10, threshold = 0.000, embedding size = 50	
Running LSTM model	
Epoch 43, epsilon = 0.000, sum(y)/len(y) = 234/999, {Recall = 0.593675, Precision = 0.377744, F1 = 0.461710}, query = aurora	
Epoch 44, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 45, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 46, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 47, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 48, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 49, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 50, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 51, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 52, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 53, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 54, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 55, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 56, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 57, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 58, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 59, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 60, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 61, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 62, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 63, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 64, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 65, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 66, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 67, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 68, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 69, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
