...Utils file loaded	
...running on GPU	
training model with learning rate = 0.050, K = 10, J = 20, threshold = 0.010, embedding size = 50, and batch size = 200...	
Running BOW model	
Epoch 42, epsilon = 0.160, sum(y)/len(y) = 287/1000, {Recall = 0.466699, Precision = 0.420734, F1 = 0.442526}, query = aurora	
Epoch 43, epsilon = 0.140, sum(y)/len(y) = 886/1000, {Recall = 0.714902, Precision = 0.207078, F1 = 0.321136}, query = aurora	
Epoch 44, epsilon = 0.120, sum(y)/len(y) = 435/1000, {Recall = 0.586488, Precision = 0.343820, F1 = 0.433505}, query = aurora	
Epoch 45, epsilon = 0.100, sum(y)/len(y) = 375/1000, {Recall = 0.526114, Precision = 0.360591, F1 = 0.427903}, query = aurora	
Epoch 46, epsilon = 0.100, sum(y)/len(y) = 425/1000, {Recall = 0.554863, Precision = 0.336139, F1 = 0.418655}, query = aurora	
Epoch 47, epsilon = 0.100, sum(y)/len(y) = 529/1000, {Recall = 0.614279, Precision = 0.301576, F1 = 0.404544}, query = aurora	
Epoch 48, epsilon = 0.100, sum(y)/len(y) = 331/1000, {Recall = 0.472928, Precision = 0.378887, F1 = 0.420716}, query = aurora	
Epoch 49, epsilon = 0.100, sum(y)/len(y) = 424/1000, {Recall = 0.561092, Precision = 0.341399, F1 = 0.424506}, query = aurora	
Epoch 50, epsilon = 0.100, sum(y)/len(y) = 591/1000, {Recall = 0.628654, Precision = 0.276327, F1 = 0.383906}, query = aurora	
Epoch 51, epsilon = 0.100, sum(y)/len(y) = 357/1000, {Recall = 0.505989, Precision = 0.369360, F1 = 0.427012}, query = aurora	
Epoch 52, epsilon = 0.100, sum(y)/len(y) = 516/1000, {Recall = 0.624341, Precision = 0.312245, F1 = 0.416294}, query = aurora	
Epoch 53, epsilon = 0.100, sum(y)/len(y) = 167/1000, {Recall = 0.339243, Precision = 0.553125, F1 = 0.420552}, query = aurora	
Epoch 54, epsilon = 0.100, sum(y)/len(y) = 137/1000, {Recall = 0.276473, Precision = 0.574701, F1 = 0.373342}, query = aurora	
Epoch 55, epsilon = 0.100, sum(y)/len(y) = 389/1000, {Recall = 0.569717, Precision = 0.379025, F1 = 0.455207}, query = aurora	
Epoch 56, epsilon = 0.100, sum(y)/len(y) = 265/1000, {Recall = 0.449449, Precision = 0.446879, F1 = 0.448161}, query = aurora	
Epoch 57, epsilon = 0.100, sum(y)/len(y) = 515/1000, {Recall = 0.619550, Precision = 0.307930, F1 = 0.411390}, query = aurora	
Epoch 58, epsilon = 0.100, sum(y)/len(y) = 641/1000, {Recall = 0.647820, Precision = 0.260100, F1 = 0.371174}, query = aurora	
Epoch 59, epsilon = 0.100, sum(y)/len(y) = 400/1000, {Recall = 0.572592, Precision = 0.365108, F1 = 0.445896}, query = aurora	
Epoch 60, epsilon = 0.100, sum(y)/len(y) = 531/1000, {Recall = 0.625779, Precision = 0.304998, F1 = 0.410111}, query = aurora	
Epoch 61, epsilon = 0.100, sum(y)/len(y) = 358/1000, {Recall = 0.521802, Precision = 0.377470, F1 = 0.438053}, query = aurora	
Epoch 62, epsilon = 0.100, sum(y)/len(y) = 316/1000, {Recall = 0.486823, Precision = 0.400315, F1 = 0.439351}, query = aurora	
Epoch 63, epsilon = 0.100, sum(y)/len(y) = 373/1000, {Recall = 0.528031, Precision = 0.364780, F1 = 0.431480}, query = aurora	
Epoch 64, epsilon = 0.100, sum(y)/len(y) = 398/1000, {Recall = 0.560134, Precision = 0.366228, F1 = 0.442887}, query = aurora	
Epoch 65, epsilon = 0.100, sum(y)/len(y) = 405/1000, {Recall = 0.573071, Precision = 0.368681, F1 = 0.448696}, query = aurora	
Epoch 66, epsilon = 0.100, sum(y)/len(y) = 208/1000, {Recall = 0.371346, Precision = 0.477805, F1 = 0.417902}, query = aurora	
Epoch 67, epsilon = 0.100, sum(y)/len(y) = 399/1000, {Recall = 0.563967, Precision = 0.365188, F1 = 0.443315}, query = aurora	
Epoch 68, epsilon = 0.100, sum(y)/len(y) = 590/1000, {Recall = 0.647820, Precision = 0.280906, F1 = 0.391884}, query = aurora	
Epoch 69, epsilon = 0.100, sum(y)/len(y) = 422/1000, {Recall = 0.571155, Precision = 0.348946, F1 = 0.433218}, query = aurora	
Epoch 70, epsilon = 0.100, sum(y)/len(y) = 325/1000, {Recall = 0.471490, Precision = 0.381839, F1 = 0.421955}, query = aurora	
Epoch 71, epsilon = 0.100, sum(y)/len(y) = 612/1000, {Recall = 0.636320, Precision = 0.272858, F1 = 0.381938}, query = aurora	
Epoch 72, epsilon = 0.100, sum(y)/len(y) = 670/1000, {Recall = 0.657882, Precision = 0.257986, F1 = 0.370630}, query = aurora	
Epoch 73, epsilon = 0.100, sum(y)/len(y) = 665/1000, {Recall = 0.660278, Precision = 0.260000, F1 = 0.373088}, query = aurora	
Epoch 74, epsilon = 0.100, sum(y)/len(y) = 635/1000, {Recall = 0.655966, Precision = 0.269117, F1 = 0.381656}, query = aurora	
Epoch 75, epsilon = 0.100, sum(y)/len(y) = 612/1000, {Recall = 0.643028, Precision = 0.274944, F1 = 0.385189}, query = aurora	
Epoch 76, epsilon = 0.100, sum(y)/len(y) = 449/1000, {Recall = 0.565405, Precision = 0.327323, F1 = 0.414617}, query = aurora	
Epoch 77, epsilon = 0.100, sum(y)/len(y) = 370/1000, {Recall = 0.518927, Precision = 0.364646, F1 = 0.428317}, query = aurora	
Epoch 78, epsilon = 0.100, sum(y)/len(y) = 356/1000, {Recall = 0.532822, Precision = 0.396435, F1 = 0.454620}, query = aurora	
Epoch 79, epsilon = 0.100, sum(y)/len(y) = 400/1000, {Recall = 0.547676, Precision = 0.356964, F1 = 0.432218}, query = aurora	
Epoch 80, epsilon = 0.100, sum(y)/len(y) = 185/1000, {Recall = 0.320077, Precision = 0.475445, F1 = 0.382589}, query = aurora	
Epoch 81, epsilon = 0.100, sum(y)/len(y) = 221/1000, {Recall = 0.377096, Precision = 0.462397, F1 = 0.415413}, query = aurora	
Epoch 82, epsilon = 0.100, sum(y)/len(y) = 225/1000, {Recall = 0.401054, Precision = 0.486911, F1 = 0.439832}, query = aurora	
Epoch 83, epsilon = 0.100, sum(y)/len(y) = 390/1000, {Recall = 0.540968, Precision = 0.362906, F1 = 0.434398}, query = aurora	
Epoch 84, epsilon = 0.100, sum(y)/len(y) = 358/1000, {Recall = 0.486823, Precision = 0.358884, F1 = 0.413176}, query = aurora	
Epoch 85, epsilon = 0.100, sum(y)/len(y) = 355/1000, {Recall = 0.482511, Precision = 0.359386, F1 = 0.411945}, query = aurora	
Epoch 86, epsilon = 0.100, sum(y)/len(y) = 446/1000, {Recall = 0.557738, Precision = 0.325503, F1 = 0.411090}, query = aurora	
Epoch 87, epsilon = 0.100, sum(y)/len(y) = 459/1000, {Recall = 0.589363, Precision = 0.331715, F1 = 0.424504}, query = aurora	
Epoch 88, epsilon = 0.100, sum(y)/len(y) = 881/1000, {Recall = 0.714902, Precision = 0.208205, F1 = 0.322490}, query = aurora	
Epoch 89, epsilon = 0.100, sum(y)/len(y) = 890/1000, {Recall = 0.715381, Precision = 0.206472, F1 = 0.320455}, query = aurora	
Epoch 90, epsilon = 0.100, sum(y)/len(y) = 808/1000, {Recall = 0.703881, Precision = 0.224172, F1 = 0.340046}, query = aurora	
