...Utils file loaded	
...running on CPU	
training model with metric = f1, learning rate = 0.200, K = 20, J = 10, threshold = 0.000, embedding size = 50	
Running LSTM model	
Epoch 38, loss  = 0.005, epsilon = 0.240, sum(y)/len(y) = 850/999, {Recall = 0.146122, Precision = 0.795148, F1 = 0.246877}, query = aurora	
Epoch 39, loss  = 0.005, epsilon = 0.220, sum(y)/len(y) = 871/999, {Recall = 0.142051, Precision = 0.794763, F1 = 0.241023}, query = aurora	
Epoch 40, loss  = 0.004, epsilon = 0.200, sum(y)/len(y) = 813/999, {Recall = 0.151917, Precision = 0.793223, F1 = 0.254998}, query = aurora	
Epoch 41, loss  = 0.005, epsilon = 0.180, sum(y)/len(y) = 763/999, {Recall = 0.160277, Precision = 0.785522, F1 = 0.266232}, query = aurora	
Epoch 42, loss  = 0.004, epsilon = 0.160, sum(y)/len(y) = 888/999, {Recall = 0.140522, Precision = 0.800924, F1 = 0.239094}, query = aurora	
Epoch 43, loss  = 0.004, epsilon = 0.140, sum(y)/len(y) = 831/999, {Recall = 0.149349, Precision = 0.794763, F1 = 0.251447}, query = aurora	
Epoch 44, loss  = 0.004, epsilon = 0.120, sum(y)/len(y) = 898/999, {Recall = 0.139283, Precision = 0.801694, F1 = 0.237333}, query = aurora	
Epoch 45, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 866/999, {Recall = 0.144226, Precision = 0.799769, F1 = 0.244382}, query = aurora	
Epoch 46, loss  = 0.004, epsilon = 0.100, sum(y)/len(y) = 918/999, {Recall = 0.137274, Precision = 0.807470, F1 = 0.234656}, query = aurora	
Epoch 47, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 853/999, {Recall = 0.145378, Precision = 0.796303, F1 = 0.245869}, query = aurora	
Epoch 48, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 904/999, {Recall = 0.138920, Precision = 0.803620, F1 = 0.236890}, query = aurora	
Epoch 49, loss  = 0.004, epsilon = 0.100, sum(y)/len(y) = 885/999, {Recall = 0.141334, Precision = 0.801309, F1 = 0.240286}, query = aurora	
Epoch 50, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 905/999, {Recall = 0.138080, Precision = 0.801309, F1 = 0.235567}, query = aurora	
Epoch 51, loss  = 0.004, epsilon = 0.100, sum(y)/len(y) = 901/999, {Recall = 0.138989, Precision = 0.800539, F1 = 0.236856}, query = aurora	
Epoch 52, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 944/999, {Recall = 0.132876, Precision = 0.805545, F1 = 0.228123}, query = aurora	
Epoch 53, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 919/999, {Recall = 0.135610, Precision = 0.799769, F1 = 0.231899}, query = aurora	
Epoch 54, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 916/999, {Recall = 0.136681, Precision = 0.798614, F1 = 0.233414}, query = aurora	
Epoch 55, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 863/999, {Recall = 0.143879, Precision = 0.797459, F1 = 0.243776}, query = aurora	
Epoch 56, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 932/999, {Recall = 0.134525, Precision = 0.805545, F1 = 0.230549}, query = aurora	
Epoch 57, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 837/999, {Recall = 0.148140, Precision = 0.795918, F1 = 0.249789}, query = aurora	
Epoch 58, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 938/999, {Recall = 0.133726, Precision = 0.804005, F1 = 0.229312}, query = aurora	
Epoch 59, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 951/999, {Recall = 0.132421, Precision = 0.808240, F1 = 0.227559}, query = aurora	
Epoch 60, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 862/999, {Recall = 0.143992, Precision = 0.795918, F1 = 0.243865}, query = aurora	
Epoch 61, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 929/999, {Recall = 0.135828, Precision = 0.807855, F1 = 0.232556}, query = aurora	
Epoch 62, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 905/999, {Recall = 0.138417, Precision = 0.802464, F1 = 0.236107}, query = aurora	
Epoch 63, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 933/999, {Recall = 0.134084, Precision = 0.802079, F1 = 0.229760}, query = aurora	
Epoch 64, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 923/999, {Recall = 0.136269, Precision = 0.803235, F1 = 0.233008}, query = aurora	
Epoch 65, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 903/999, {Recall = 0.138652, Precision = 0.799769, F1 = 0.236332}, query = aurora	
Epoch 66, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 887/999, {Recall = 0.141029, Precision = 0.802079, F1 = 0.239880}, query = aurora	
Epoch 67, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 920/999, {Recall = 0.136058, Precision = 0.803620, F1 = 0.232716}, query = aurora	
