...Utils file loaded	
...running on GPU	
training model with learning rate = 0.050, K = 10, J = 20, threshold = 0.010, embedding size = 50, and batch size = 200...	
Running BOW model	
Epoch 42, epsilon = 0.160, sum(y)/len(y) = 486/1000, {Recall = 0.588404, Precision = 0.305853, F1 = 0.402491}, query = aurora	
Epoch 43, epsilon = 0.140, sum(y)/len(y) = 310/1000, {Recall = 0.492094, Precision = 0.400078, F1 = 0.441341}, query = aurora	
Epoch 44, epsilon = 0.120, sum(y)/len(y) = 246/1000, {Recall = 0.461428, Precision = 0.452538, F1 = 0.456940}, query = aurora	
Epoch 45, epsilon = 0.100, sum(y)/len(y) = 67/1000, {Recall = 0.182559, Precision = 0.645763, F1 = 0.284647}, query = aurora	
Epoch 46, epsilon = 0.100, sum(y)/len(y) = 52/1000, {Recall = 0.134164, Precision = 0.657277, F1 = 0.222841}, query = aurora	
Epoch 47, epsilon = 0.100, sum(y)/len(y) = 136/1000, {Recall = 0.323910, Precision = 0.620753, F1 = 0.425693}, query = aurora	
Epoch 48, epsilon = 0.100, sum(y)/len(y) = 29/1000, {Recall = 0.078582, Precision = 0.674897, F1 = 0.140773}, query = aurora	
Epoch 49, epsilon = 0.100, sum(y)/len(y) = 122/1000, {Recall = 0.300910, Precision = 0.627373, F1 = 0.406736}, query = aurora	
Epoch 50, epsilon = 0.100, sum(y)/len(y) = 48/1000, {Recall = 0.124102, Precision = 0.637931, F1 = 0.207782}, query = aurora	
Epoch 51, epsilon = 0.100, sum(y)/len(y) = 32/1000, {Recall = 0.083373, Precision = 0.651685, F1 = 0.147833}, query = aurora	
Epoch 52, epsilon = 0.100, sum(y)/len(y) = 229/1000, {Recall = 0.479157, Precision = 0.540541, F1 = 0.508001}, query = aurora	
Epoch 53, epsilon = 0.100, sum(y)/len(y) = 108/1000, {Recall = 0.235745, Precision = 0.564868, F1 = 0.332657}, query = aurora	
Epoch 54, epsilon = 0.100, sum(y)/len(y) = 35/1000, {Recall = 0.091998, Precision = 0.657534, F1 = 0.161412}, query = aurora	
Epoch 55, epsilon = 0.100, sum(y)/len(y) = 140/1000, {Recall = 0.349305, Precision = 0.628448, F1 = 0.449030}, query = aurora	
Epoch 56, epsilon = 0.100, sum(y)/len(y) = 33/1000, {Recall = 0.091998, Precision = 0.688172, F1 = 0.162299}, query = aurora	
Epoch 57, epsilon = 0.100, sum(y)/len(y) = 144/1000, {Recall = 0.313368, Precision = 0.573684, F1 = 0.405330}, query = aurora	
Epoch 58, epsilon = 0.100, sum(y)/len(y) = 29/1000, {Recall = 0.077144, Precision = 0.659836, F1 = 0.138138}, query = aurora	
Epoch 59, epsilon = 0.100, sum(y)/len(y) = 226/1000, {Recall = 0.457115, Precision = 0.504762, F1 = 0.479759}, query = aurora	
Epoch 60, epsilon = 0.100, sum(y)/len(y) = 194/1000, {Recall = 0.415908, Precision = 0.562176, F1 = 0.478105}, query = aurora	
Epoch 61, epsilon = 0.100, sum(y)/len(y) = 28/1000, {Recall = 0.077623, Precision = 0.650602, F1 = 0.138699}, query = aurora	
Epoch 62, epsilon = 0.100, sum(y)/len(y) = 47/1000, {Recall = 0.127456, Precision = 0.639423, F1 = 0.212545}, query = aurora	
Epoch 63, epsilon = 0.100, sum(y)/len(y) = 49/1000, {Recall = 0.132247, Precision = 0.638889, F1 = 0.219135}, query = aurora	
Epoch 64, epsilon = 0.100, sum(y)/len(y) = 136/1000, {Recall = 0.289411, Precision = 0.558742, F1 = 0.381313}, query = aurora	
Epoch 65, epsilon = 0.100, sum(y)/len(y) = 231/1000, {Recall = 0.458553, Precision = 0.526113, F1 = 0.490015}, query = aurora	
Epoch 66, epsilon = 0.100, sum(y)/len(y) = 11/1000, {Recall = 0.027791, Precision = 0.659091, F1 = 0.053333}, query = aurora	
Epoch 67, epsilon = 0.100, sum(y)/len(y) = 110/1000, {Recall = 0.240057, Precision = 0.571266, F1 = 0.338057}, query = aurora	
Epoch 68, epsilon = 0.100, sum(y)/len(y) = 205/1000, {Recall = 0.418783, Precision = 0.511111, F1 = 0.460363}, query = aurora	
Epoch 69, epsilon = 0.100, sum(y)/len(y) = 120/1000, {Recall = 0.300910, Precision = 0.634343, F1 = 0.408190}, query = aurora	
Epoch 70, epsilon = 0.100, sum(y)/len(y) = 148/1000, {Recall = 0.339243, Precision = 0.546718, F1 = 0.418687}, query = aurora	
Epoch 71, epsilon = 0.100, sum(y)/len(y) = 95/1000, {Recall = 0.241495, Precision = 0.595041, F1 = 0.343558}, query = aurora	
Epoch 72, epsilon = 0.100, sum(y)/len(y) = 173/1000, {Recall = 0.405367, Precision = 0.576294, F1 = 0.475949}, query = aurora	
Epoch 73, epsilon = 0.100, sum(y)/len(y) = 88/1000, {Recall = 0.225683, Precision = 0.600000, F1 = 0.327994}, query = aurora	
Epoch 74, epsilon = 0.100, sum(y)/len(y) = 162/1000, {Recall = 0.349305, Precision = 0.544843, F1 = 0.425693}, query = aurora	
Epoch 75, epsilon = 0.100, sum(y)/len(y) = 185/1000, {Recall = 0.399138, Precision = 0.525884, F1 = 0.453827}, query = aurora	
Epoch 76, epsilon = 0.100, sum(y)/len(y) = 159/1000, {Recall = 0.355534, Precision = 0.548006, F1 = 0.431270}, query = aurora	
Epoch 77, epsilon = 0.100, sum(y)/len(y) = 72/1000, {Recall = 0.190704, Precision = 0.619938, F1 = 0.291682}, query = aurora	
Epoch 78, epsilon = 0.100, sum(y)/len(y) = 237/1000, {Recall = 0.469094, Precision = 0.498981, F1 = 0.483576}, query = aurora	
Epoch 79, epsilon = 0.100, sum(y)/len(y) = 158/1000, {Recall = 0.363680, Precision = 0.581164, F1 = 0.447392}, query = aurora	
Epoch 80, epsilon = 0.100, sum(y)/len(y) = 68/1000, {Recall = 0.180163, Precision = 0.621488, F1 = 0.279346}, query = aurora	
Epoch 81, epsilon = 0.100, sum(y)/len(y) = 169/1000, {Recall = 0.376138, Precision = 0.539890, F1 = 0.443378}, query = aurora	
Epoch 82, epsilon = 0.100, sum(y)/len(y) = 157/1000, {Recall = 0.376617, Precision = 0.600458, F1 = 0.462898}, query = aurora	
Epoch 83, epsilon = 0.100, sum(y)/len(y) = 154/1000, {Recall = 0.373742, Precision = 0.596787, F1 = 0.459635}, query = aurora	
Epoch 84, epsilon = 0.100, sum(y)/len(y) = 59/1000, {Recall = 0.154768, Precision = 0.617591, F1 = 0.247510}, query = aurora	
Epoch 85, epsilon = 0.100, sum(y)/len(y) = 58/1000, {Recall = 0.151414, Precision = 0.615984, F1 = 0.243077}, query = aurora	
Epoch 86, epsilon = 0.100, sum(y)/len(y) = 58/1000, {Recall = 0.151414, Precision = 0.615984, F1 = 0.243077}, query = aurora	
