...Utils file loaded	
...running on GPU	
training model with learning rate = 0.050, K = 10, and minibatch size = 100...	
Running BOW model	
Epoch 43, epsilon = 0.140, sum(y)/len(y) = 41/1000, {Recall = 0.116914, Precision = 0.739394, F1 = 0.201903}, query = aurora	
Epoch 44, epsilon = 0.120, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 45, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 46, epsilon = 0.100, sum(y)/len(y) = 48/1000, {Recall = 0.114998, Precision = 0.620155, F1 = 0.194018}, query = aurora	
Epoch 47, epsilon = 0.100, sum(y)/len(y) = 42/1000, {Recall = 0.122664, Precision = 0.746356, F1 = 0.210700}, query = aurora	
Epoch 48, epsilon = 0.100, sum(y)/len(y) = 101/1000, {Recall = 0.250120, Precision = 0.636585, F1 = 0.359133}, query = aurora	
Epoch 49, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 50, epsilon = 0.100, sum(y)/len(y) = 53/1000, {Recall = 0.153809, Precision = 0.734554, F1 = 0.254358}, query = aurora	
Epoch 51, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 52, epsilon = 0.100, sum(y)/len(y) = 48/1000, {Recall = 0.140872, Precision = 0.731343, F1 = 0.236239}, query = aurora	
Epoch 53, epsilon = 0.100, sum(y)/len(y) = 42/1000, {Recall = 0.087207, Precision = 0.594771, F1 = 0.152110}, query = aurora	
Epoch 54, epsilon = 0.100, sum(y)/len(y) = 158/1000, {Recall = 0.368471, Precision = 0.597514, F1 = 0.455839}, query = aurora	
Epoch 55, epsilon = 0.100, sum(y)/len(y) = 50/1000, {Recall = 0.113560, Precision = 0.623684, F1 = 0.192136}, query = aurora	
Epoch 56, epsilon = 0.100, sum(y)/len(y) = 80/1000, {Recall = 0.215621, Precision = 0.695518, F1 = 0.329188}, query = aurora	
Epoch 57, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 58, epsilon = 0.100, sum(y)/len(y) = 97/1000, {Recall = 0.245328, Precision = 0.664073, F1 = 0.358293}, query = aurora	
Epoch 59, epsilon = 0.100, sum(y)/len(y) = 43/1000, {Recall = 0.127456, Precision = 0.747191, F1 = 0.217765}, query = aurora	
Epoch 60, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 61, epsilon = 0.100, sum(y)/len(y) = 96/1000, {Recall = 0.253953, Precision = 0.669192, F1 = 0.368183}, query = aurora	
Epoch 62, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 63, epsilon = 0.100, sum(y)/len(y) = 45/1000, {Recall = 0.127935, Precision = 0.691710, F1 = 0.215932}, query = aurora	
Epoch 64, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 65, epsilon = 0.100, sum(y)/len(y) = 148/1000, {Recall = 0.342597, Precision = 0.592378, F1 = 0.434123}, query = aurora	
Epoch 66, epsilon = 0.100, sum(y)/len(y) = 56/1000, {Recall = 0.163872, Precision = 0.733906, F1 = 0.267920}, query = aurora	
Epoch 67, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 68, epsilon = 0.100, sum(y)/len(y) = 51/1000, {Recall = 0.152851, Precision = 0.752358, F1 = 0.254082}, query = aurora	
Epoch 69, epsilon = 0.100, sum(y)/len(y) = 96/1000, {Recall = 0.259224, Precision = 0.672050, F1 = 0.374136}, query = aurora	
Epoch 70, epsilon = 0.100, sum(y)/len(y) = 51/1000, {Recall = 0.133685, Precision = 0.680488, F1 = 0.223468}, query = aurora	
Epoch 71, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 72, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 73, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 74, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 75, epsilon = 0.100, sum(y)/len(y) = 100/1000, {Recall = 0.237183, Precision = 0.619524, F1 = 0.343035}, query = aurora	
Epoch 76, epsilon = 0.100, sum(y)/len(y) = 51/1000, {Recall = 0.135122, Precision = 0.665094, F1 = 0.224612}, query = aurora	
Epoch 77, epsilon = 0.100, sum(y)/len(y) = 45/1000, {Recall = 0.139914, Precision = 0.770449, F1 = 0.236821}, query = aurora	
