Epoch 0, minibatch 53-160, sumy-leny = 3974-8000, Recall = 0.141315, Precision = 0.629707, F1 = 0.230828  
Epoch 0, minibatch 54-160, sumy-leny = 3968-8000, Recall = 0.095305, Precision = 0.556164, F1 = 0.162725  
Epoch 0, minibatch 55-160, sumy-leny = 3981-8000, Recall = 0.178873, Precision = 0.655766, F1 = 0.281077  
Epoch 0, minibatch 56-160, sumy-leny = 3988-8000, Recall = 0.129577, Precision = 0.635945, F1 = 0.215289  
Epoch 0, minibatch 57-160, sumy-leny = 3984-8000, Recall = 0.173239, Precision = 0.656584, F1 = 0.274146  
Epoch 0, minibatch 58-160, sumy-leny = 3976-8000, Recall = 0.151643, Precision = 0.680000, F1 = 0.247985  
Epoch 0, minibatch 59-160, sumy-leny = 3977-8000, Recall = 0.183568, Precision = 0.650582, F1 = 0.286342  
Epoch 0, minibatch 60-160, sumy-leny = 3982-8000, Recall = 0.168075, Precision = 0.647378, F1 = 0.266865  
Epoch 0, minibatch 61-160, sumy-leny = 3981-8000, Recall = 0.181221, Precision = 0.632787, F1 = 0.281752  
Epoch 0, minibatch 62-160, sumy-leny = 3983-8000, Recall = 0.162911, Precision = 0.622980, F1 = 0.258281  
Epoch 0, minibatch 63-160, sumy-leny = 3986-8000, Recall = 0.241315, Precision = 0.691790, F1 = 0.357814  
Epoch 0, minibatch 64-160, sumy-leny = 3987-8000, Recall = 0.223474, Precision = 0.666667, F1 = 0.334740  
Epoch 0, minibatch 65-160, sumy-leny = 3991-8000, Recall = 0.182629, Precision = 0.720370, F1 = 0.291386  
Epoch 0, minibatch 66-160, sumy-leny = 3988-8000, Recall = 0.224413, Precision = 0.669468, F1 = 0.336146  
Epoch 0, minibatch 67-160, sumy-leny = 3988-8000, Recall = 0.170423, Precision = 0.683616, F1 = 0.272830  
Epoch 0, minibatch 68-160, sumy-leny = 3988-8000, Recall = 0.138498, Precision = 0.631692, F1 = 0.227185  
Epoch 0, minibatch 69-160, sumy-leny = 3978-8000, Recall = 0.116901, Precision = 0.624060, F1 = 0.196916  
Epoch 0, minibatch 70-160, sumy-leny = 3976-8000, Recall = 0.183099, Precision = 0.657673, F1 = 0.286449  
Epoch 0, minibatch 71-160, sumy-leny = 3972-8000, Recall = 0.135681, Precision = 0.673660, F1 = 0.225869  
Epoch 0, minibatch 72-160, sumy-leny = 3971-8000, Recall = 0.133803, Precision = 0.675355, F1 = 0.223354  
Epoch 0, minibatch 73-160, sumy-leny = 3971-8000, Recall = 0.141784, Precision = 0.611336, F1 = 0.230183  
