epoch;epsilon;loss;rouge;actual;pred;actions
666; 0.000;0.053033;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
667; 0.000;0.053031;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
668; 0.000;0.053029;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
669; 0.000;0.053028;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
670; 0.000;0.053026;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
671; 0.000;0.053024;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
672; 0.000;0.053022;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
673; 0.000;0.053020;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
674; 0.000;0.053018;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
675; 0.000;0.053016;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
676; 0.000;0.308276;0.600000; {min=-1.000, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
677; 0.000;0.042008;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
678; 0.000;0.053003;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
679; 0.000;0.053001;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
680; 0.000;0.053000;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
681; 0.000;0.052998;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
682; 0.000;0.052996;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
683; 0.000;0.052994;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
684; 0.000;0.052992;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
685; 0.000;0.052991;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
686; 0.000;0.052989;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
687; 0.000;0.052987;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
688; 0.000;0.052985;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
689; 0.000;0.052984;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
690; 0.000;0.052982;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
691; 0.000;0.052980;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
692; 0.000;0.052978;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
693; 0.000;0.052976;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
694; 0.000;0.052975;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
695; 0.000;0.052973;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
696; 0.000;0.052971;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
697; 0.000;0.052969;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
698; 0.000;0.052967;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
699; 0.000;0.052966;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
700; 0.000;0.052964;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
701; 0.000;0.052962;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
702; 0.000;0.052960;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
703; 0.000;0.052958;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
704; 0.000;0.052956;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
705; 0.000;0.052955;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.266}; {0,1,1,0,0,1,1,0,1,0,1,0}
706; 0.000;0.052953;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
707; 0.000;0.052951;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
708; 0.000;0.052949;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
709; 0.000;0.052947;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
710; 0.000;0.052945;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
711; 0.000;0.052943;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
712; 0.000;0.052942;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
713; 0.000;0.052940;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
714; 0.000;0.052938;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
715; 0.000;0.052936;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
716; 0.000;0.052934;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
717; 0.000;0.052932;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
718; 0.000;0.052930;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
719; 0.000;0.052928;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
720; 0.000;0.052927;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
721; 0.000;0.052925;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
722; 0.000;0.052923;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
723; 0.000;0.052921;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
724; 0.000;0.052919;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
725; 0.000;0.052917;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
726; 0.000;0.052915;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
727; 0.000;0.052913;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
728; 0.000;0.052911;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
729; 0.000;0.052909;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
730; 0.000;0.052907;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
731; 0.000;0.052905;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
732; 0.000;0.052903;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
733; 0.000;0.052901;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
734; 0.000;0.052900;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
735; 0.000;0.052898;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
736; 0.000;0.052896;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
737; 0.000;0.052894;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
738; 0.000;0.052892;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
739; 0.000;0.052890;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
740; 0.000;0.052888;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
741; 0.000;0.052886;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
742; 0.000;0.052884;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
743; 0.000;0.052882;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
744; 0.000;0.052880;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
745; 0.000;0.052878;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
746; 0.000;0.052876;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
747; 0.000;0.052874;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
748; 0.000;0.052872;0.600000; {min=-0.647, max=0.247}; {min=-0.403, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
749; 0.000;0.052870;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
750; 0.000;0.052868;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
751; 0.000;0.052866;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
752; 0.000;0.052864;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
753; 0.000;0.052862;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
754; 0.000;0.052860;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
755; 0.000;0.052858;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
756; 0.000;0.052856;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
757; 0.000;0.052854;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
758; 0.000;0.052852;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
759; 0.000;0.052850;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
760; 0.000;0.052848;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
761; 0.000;0.052846;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
762; 0.000;0.052844;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
763; 0.000;0.052842;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
764; 0.000;0.052840;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
765; 0.000;0.052838;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
766; 0.000;0.052836;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
767; 0.000;0.052834;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
768; 0.000;0.052831;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
769; 0.000;0.307803;0.600000; {min=-1.000, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
770; 0.000;0.307776;0.600000; {min=-1.000, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
771; 0.000;0.052809;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
772; 0.000;0.052807;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
773; 0.000;0.052805;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
774; 0.000;0.052804;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
775; 0.000;0.052802;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
776; 0.000;0.052800;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
777; 0.000;0.052798;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
778; 0.000;0.052797;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
779; 0.000;0.052795;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
780; 0.000;0.052793;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
781; 0.000;0.052791;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
782; 0.000;0.052790;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
783; 0.000;0.052788;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
784; 0.000;0.052786;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
785; 0.000;0.052784;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
786; 0.000;0.052783;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
787; 0.000;0.052781;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
788; 0.000;0.052779;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
789; 0.000;0.052777;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
790; 0.000;0.052776;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
791; 0.000;0.052774;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
792; 0.000;0.052772;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
793; 0.000;0.052770;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
794; 0.000;0.052769;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
795; 0.000;0.052767;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
796; 0.000;0.052765;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
797; 0.000;0.052763;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
798; 0.000;0.052761;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
799; 0.000;0.052759;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
800; 0.000;0.052758;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
801; 0.000;0.052756;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
802; 0.000;0.052754;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
803; 0.000;0.052752;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
804; 0.000;0.052750;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
805; 0.000;0.052749;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
806; 0.000;0.052747;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
807; 0.000;0.052745;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
808; 0.000;0.052743;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
809; 0.000;0.052741;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.265}; {0,1,1,0,0,1,1,0,1,0,1,0}
810; 0.000;0.052739;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
811; 0.000;0.052737;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
812; 0.000;0.052736;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
813; 0.000;0.052734;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
814; 0.000;0.052732;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
815; 0.000;0.052730;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
816; 0.000;0.052728;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
817; 0.000;0.052726;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
818; 0.000;0.052724;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
819; 0.000;0.052722;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
820; 0.000;0.052721;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
821; 0.000;0.052719;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
822; 0.000;0.052717;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
823; 0.000;0.052715;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
824; 0.000;0.052713;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
825; 0.000;0.052711;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
826; 0.000;0.052709;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
827; 0.000;0.052707;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
828; 0.000;0.052705;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
829; 0.000;0.052703;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
830; 0.000;0.052702;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
831; 0.000;0.052700;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
832; 0.000;0.052698;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
833; 0.000;0.052696;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
834; 0.000;0.052694;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
835; 0.000;0.052692;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
836; 0.000;0.052690;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
837; 0.000;0.052688;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
838; 0.000;0.052686;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
839; 0.000;0.052684;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
840; 0.000;0.052682;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
841; 0.000;0.052680;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
842; 0.000;0.052678;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
843; 0.000;0.052676;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
844; 0.000;0.052674;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
845; 0.000;0.052672;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
846; 0.000;0.052670;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
847; 0.000;0.052668;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
848; 0.000;0.052666;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
849; 0.000;0.052664;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
850; 0.000;0.052662;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
851; 0.000;0.052660;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
852; 0.000;0.052658;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
853; 0.000;0.052656;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
854; 0.000;0.052654;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
855; 0.000;0.052652;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
856; 0.000;0.052650;0.600000; {min=-0.647, max=0.247}; {min=-0.404, max=0.264}; {0,1,1,0,0,1,1,0,1,0,1,0}
