...Utils file loaded	
<csv>	parsing file: /Users/franciscojavierarceo/GitHub/DeepNLPQLearning/DO_NOT_UPLOAD_THIS_DATA/0-output/2012_aurora_shooting_first_sentence_numtext2.csv	
<csv>	parsing done	
<csv>	parsing file: /Users/franciscojavierarceo/GitHub/DeepNLPQLearning/DO_NOT_UPLOAD_THIS_DATA/0-output/aurora_nuggets_numtext.csv	
<csv>	parsing done	
<csv>	parsing file: /Users/franciscojavierarceo/GitHub/DeepNLPQLearning/DO_NOT_UPLOAD_THIS_DATA/0-output/queries_numtext.csv	
<csv>	parsing done	
<csv>	parsing file: /Users/franciscojavierarceo/GitHub/DeepNLPQLearning/DO_NOT_UPLOAD_THIS_DATA/0-output/2012_aurora_sentence_numtext2.csv	
<csv>	parsing done	
Running BOW model	
...running on GPU	
training model with learning rate = 0.010, K = 200, and minibatch size = 500...	
Epoch 2, epsilon = 0.840, minibatch 5/16, sum(y)/len(y) = 247/500, {Recall = 0.743662, Precision = 0.306798, F1 = 0.434389}	
Epoch 2, epsilon = 0.840, minibatch 6/16, sum(y)/len(y) = 265/500, {Recall = 0.750235, Precision = 0.300772, F1 = 0.429397}	
Epoch 2, epsilon = 0.840, minibatch 7/16, sum(y)/len(y) = 236/500, {Recall = 0.763850, Precision = 0.272392, F1 = 0.401580}	
Epoch 2, epsilon = 0.840, minibatch 8/16, sum(y)/len(y) = 244/500, {Recall = 0.757746, Precision = 0.304701, F1 = 0.434630}	
Epoch 2, epsilon = 0.840, minibatch 9/16, sum(y)/len(y) = 255/500, {Recall = 0.752582, Precision = 0.269140, F1 = 0.396488}	
Epoch 2, epsilon = 0.840, minibatch 10/16, sum(y)/len(y) = 500/500, {Recall = 0.763380, Precision = 0.305754, F1 = 0.436627}	
Epoch 2, epsilon = 0.840, minibatch 11/16, sum(y)/len(y) = 500/500, {Recall = 0.757277, Precision = 0.286196, F1 = 0.415400}	
Epoch 2, epsilon = 0.840, minibatch 12/16, sum(y)/len(y) = 256/500, {Recall = 0.757277, Precision = 0.282784, F1 = 0.411795}	
Epoch 2, epsilon = 0.840, minibatch 13/16, sum(y)/len(y) = 263/500, {Recall = 0.735211, Precision = 0.299713, F1 = 0.425833}	
Epoch 2, epsilon = 0.840, minibatch 14/16, sum(y)/len(y) = 269/500, {Recall = 0.738967, Precision = 0.293328, F1 = 0.419957}	
Epoch 2, epsilon = 0.840, minibatch 15/16, sum(y)/len(y) = 245/500, {Recall = 0.761033, Precision = 0.281326, F1 = 0.410796}	
Epoch 2, epsilon = 0.840, minibatch 16/16, sum(y)/len(y) = 253/500, {Recall = 0.746948, Precision = 0.305374, F1 = 0.433515}	
Epoch 3, epsilon = 0.760, minibatch 1/16, sum(y)/len(y) = 248/499, {Recall = 0.760094, Precision = 0.252850, F1 = 0.379468}	
Epoch 3, epsilon = 0.760, minibatch 2/16, sum(y)/len(y) = 244/500, {Recall = 0.770892, Precision = 0.255963, F1 = 0.384318}	
Epoch 3, epsilon = 0.760, minibatch 3/16, sum(y)/len(y) = 500/500, {Recall = 0.758216, Precision = 0.302775, F1 = 0.432744}	
Epoch 3, epsilon = 0.760, minibatch 4/16, sum(y)/len(y) = 500/500, {Recall = 0.765728, Precision = 0.298226, F1 = 0.429267}	
Epoch 3, epsilon = 0.760, minibatch 5/16, sum(y)/len(y) = 223/500, {Recall = 0.753991, Precision = 0.287453, F1 = 0.416224}	
Epoch 3, epsilon = 0.760, minibatch 6/16, sum(y)/len(y) = 500/500, {Recall = 0.744131, Precision = 0.323403, F1 = 0.450860}	
Epoch 3, epsilon = 0.760, minibatch 7/16, sum(y)/len(y) = 273/500, {Recall = 0.764319, Precision = 0.279245, F1 = 0.409045}	
Epoch 3, epsilon = 0.760, minibatch 8/16, sum(y)/len(y) = 253/500, {Recall = 0.749765, Precision = 0.310640, F1 = 0.439279}	
Epoch 3, epsilon = 0.760, minibatch 9/16, sum(y)/len(y) = 500/500, {Recall = 0.743192, Precision = 0.271015, F1 = 0.397190}	
Epoch 3, epsilon = 0.760, minibatch 10/16, sum(y)/len(y) = 500/500, {Recall = 0.742254, Precision = 0.314940, F1 = 0.442238}	
Epoch 3, epsilon = 0.760, minibatch 11/16, sum(y)/len(y) = 247/500, {Recall = 0.755399, Precision = 0.290906, F1 = 0.420050}	
Epoch 3, epsilon = 0.760, minibatch 12/16, sum(y)/len(y) = 236/500, {Recall = 0.766197, Precision = 0.279404, F1 = 0.409484}	
Epoch 3, epsilon = 0.760, minibatch 13/16, sum(y)/len(y) = 500/500, {Recall = 0.734742, Precision = 0.307526, F1 = 0.433578}	
Epoch 3, epsilon = 0.760, minibatch 14/16, sum(y)/len(y) = 260/500, {Recall = 0.753521, Precision = 0.293151, F1 = 0.422091}	
Epoch 3, epsilon = 0.760, minibatch 15/16, sum(y)/len(y) = 265/500, {Recall = 0.755869, Precision = 0.272420, F1 = 0.400498}	
Epoch 3, epsilon = 0.760, minibatch 16/16, sum(y)/len(y) = 269/500, {Recall = 0.727700, Precision = 0.300854, F1 = 0.425707}	
Epoch 4, epsilon = 0.680, minibatch 1/16, sum(y)/len(y) = 499/499, {Recall = 0.838028, Precision = 0.149372, F1 = 0.253551}	
Epoch 4, epsilon = 0.680, minibatch 2/16, sum(y)/len(y) = 249/500, {Recall = 0.851174, Precision = 0.146944, F1 = 0.250622}	
Epoch 4, epsilon = 0.680, minibatch 3/16, sum(y)/len(y) = 254/500, {Recall = 0.844131, Precision = 0.182538, F1 = 0.300167}	
Epoch 4, epsilon = 0.680, minibatch 4/16, sum(y)/len(y) = 261/500, {Recall = 0.854460, Precision = 0.176340, F1 = 0.292346}	
Epoch 4, epsilon = 0.680, minibatch 5/16, sum(y)/len(y) = 255/500, {Recall = 0.845540, Precision = 0.171458, F1 = 0.285104}	
Epoch 4, epsilon = 0.680, minibatch 6/16, sum(y)/len(y) = 246/500, {Recall = 0.833803, Precision = 0.176804, F1 = 0.291745}	
Epoch 4, epsilon = 0.680, minibatch 7/16, sum(y)/len(y) = 252/500, {Recall = 0.860094, Precision = 0.160434, F1 = 0.270426}	
Epoch 4, epsilon = 0.680, minibatch 8/16, sum(y)/len(y) = 249/500, {Recall = 0.846479, Precision = 0.177461, F1 = 0.293409}	
Epoch 4, epsilon = 0.680, minibatch 9/16, sum(y)/len(y) = 268/500, {Recall = 0.842723, Precision = 0.157733, F1 = 0.265729}	
Epoch 4, epsilon = 0.680, minibatch 10/16, sum(y)/len(y) = 244/500, {Recall = 0.850235, Precision = 0.184928, F1 = 0.303783}	
Epoch 4, epsilon = 0.680, minibatch 11/16, sum(y)/len(y) = 265/500, {Recall = 0.845540, Precision = 0.174178, F1 = 0.288853}	
Epoch 4, epsilon = 0.680, minibatch 12/16, sum(y)/len(y) = 243/500, {Recall = 0.842723, Precision = 0.167257, F1 = 0.279117}	
Epoch 4, epsilon = 0.680, minibatch 13/16, sum(y)/len(y) = 500/500, {Recall = 0.832394, Precision = 0.178370, F1 = 0.293786}	
Epoch 4, epsilon = 0.680, minibatch 14/16, sum(y)/len(y) = 269/500, {Recall = 0.849765, Precision = 0.175065, F1 = 0.290320}	
Epoch 4, epsilon = 0.680, minibatch 15/16, sum(y)/len(y) = 500/500, {Recall = 0.855399, Precision = 0.161970, F1 = 0.272367}	
Epoch 4, epsilon = 0.680, minibatch 16/16, sum(y)/len(y) = 242/500, {Recall = 0.835681, Precision = 0.184686, F1 = 0.302515}	
Epoch 5, epsilon = 0.600, minibatch 1/16, sum(y)/len(y) = 499/499, {Recall = 0.838028, Precision = 0.149372, F1 = 0.253551}	
Epoch 5, epsilon = 0.600, minibatch 2/16, sum(y)/len(y) = 241/500, {Recall = 0.851174, Precision = 0.146944, F1 = 0.250622}	
Epoch 5, epsilon = 0.600, minibatch 3/16, sum(y)/len(y) = 248/500, {Recall = 0.844131, Precision = 0.182538, F1 = 0.300167}	
Epoch 5, epsilon = 0.600, minibatch 4/16, sum(y)/len(y) = 500/500, {Recall = 0.854460, Precision = 0.176340, F1 = 0.292346}	
