epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query;testQuery;Test
35; 0.883; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
36; 0.880; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
37; 0.877; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
38; 0.873; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 11; 8; 1; 1; true
39; 0.870; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 11; 8; 1; 1; true
40; 0.867; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
41; 0.863; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
42; 0.860; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
43; 0.857; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
44; 0.853; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
45; 0.850; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
46; 0.847; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
47; 0.843; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
48; 0.840; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
49; 0.837; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
50; 0.833; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
51; 0.830; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
52; 0.827; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
53; 0.823; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
54; 0.820; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
55; 0.817; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
56; 0.813; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
57; 0.810; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
58; 0.807; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
59; 0.803; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
60; 0.800; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
61; 0.797; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
62; 0.793; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
63; 0.790; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
64; 0.787; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
65; 0.783; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
66; 0.780; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
67; 0.777; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
68; 0.773; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
69; 0.770; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
70; 0.767; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
71; 0.763; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
72; 0.760; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
73; 0.757; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
74; 0.753; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
75; 0.750; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
76; 0.747; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
77; 0.743; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
78; 0.740; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
79; 0.737; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
80; 0.733; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
81; 0.730; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
82; 0.727; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
83; 0.723; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
84; 0.720; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
85; 0.717; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
86; 0.713; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
87; 0.710; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
88; 0.707; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
89; 0.703; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
90; 0.700; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
91; 0.697; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
92; 0.693; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
93; 0.690; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
94; 0.687; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
95; 0.683; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
96; 0.680; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
97; 0.677; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
98; 0.673; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
99; 0.670; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
100; 0.667; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
101; 0.663; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
102; 0.660; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
103; 0.657; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
104; 0.653; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
105; 0.650; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
106; 0.647; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
107; 0.643; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
108; 0.640; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
109; 0.637; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
110; 0.633; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
111; 0.630; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 10; 9; 1; 1; true
112; 0.627; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 9; 10; 1; 1; true
113; 0.623; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 9; 10; 1; 1; true
114; 0.620; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 9; 10; 1; 1; true
115; 0.617; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 9; 10; 1; 1; true
116; 0.613; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 9; 10; 1; 1; true
117; 0.610; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 9; 10; 1; 1; true
118; 0.607; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 9; 10; 1; 1; true
119; 0.603; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 9; 10; 1; 1; true
120; 0.600; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 9; 10; 1; 1; true
121; 0.597; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
122; 0.593; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
123; 0.590; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
124; 0.587; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
125; 0.583; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
126; 0.580; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
127; 0.577; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
128; 0.573; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
129; 0.570; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
130; 0.567; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
131; 0.563; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
132; 0.560; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
133; 0.557; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
134; 0.553; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
135; 0.550; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
136; 0.547; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
137; 0.543; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
138; 0.540; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
139; 0.537; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
140; 0.533; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
141; 0.530; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
142; 0.527; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
143; 0.523; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
144; 0.520; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
145; 0.517; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
146; 0.513; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
147; 0.510; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
148; 0.507; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
149; 0.503; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
150; 0.500; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
151; 0.497; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
152; 0.493; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
153; 0.490; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
154; 0.487; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
155; 0.483; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
156; 0.480; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
157; 0.477; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
158; 0.473; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
159; 0.470; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
160; 0.467; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 8; 11; 1; 1; true
