epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query
38; 0.000; 0.000003; 0.042857; 0.223947; 0.177165; 0.144462; 0.229008; {min=0.000, max=0.027}; {min=-0.061, max=0.028}; 18; 2; 2
39; 0.000; 0.000006; 0.042857; 0.223947; 0.177165; 0.144462; 0.229008; {min=0.000, max=0.027}; {min=-0.061, max=0.028}; 18; 2; 2
40; 0.000; 0.000003; 0.042857; 0.223947; 0.177165; 0.144462; 0.229008; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 18; 2; 2
41; 0.000; 0.000001; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
42; 0.000; 0.000003; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
43; 0.000; 0.000003; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
44; 0.000; 0.000002; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.028}; 19; 1; 2
45; 0.000; 0.000001; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.028}; 19; 1; 2
46; 0.000; 0.000001; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
47; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
48; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
49; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
50; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
51; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
52; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
53; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
54; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
55; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
56; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
57; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
58; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
59; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
60; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
61; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
62; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
63; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
64; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
65; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
66; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
67; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
68; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
69; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
70; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
71; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
72; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
73; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
74; 0.000; 0.000001; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
75; 0.000; 0.000002; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.028}; 19; 1; 2
76; 0.000; 0.000005; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.028}; 19; 1; 2
77; 0.000; 0.000011; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.029}; 19; 1; 2
78; 0.000; 0.000020; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.030}; 19; 1; 2
79; 0.000; 0.000023; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.062, max=0.031}; 19; 1; 2
