...running on CPU	
Running LSTM model to learn f1	
epoch = 84; rougue = 0.898055; epsilon = 0.100000; loss = 0.074854	
epoch = 85; rougue = 0.786255; epsilon = 0.100000; loss = 0.063293	
epoch = 86; rougue = 0.759627; epsilon = 0.100000; loss = 0.072898	
epoch = 87; rougue = 0.859836; epsilon = 0.100000; loss = 0.083313	
epoch = 88; rougue = 0.907115; epsilon = 0.100000; loss = 0.078961	
epoch = 89; rougue = 0.768243; epsilon = 0.100000; loss = 0.083817	
epoch = 90; rougue = 0.853289; epsilon = 0.100000; loss = 0.074319	
epoch = 91; rougue = 0.881166; epsilon = 0.100000; loss = 0.104983	
epoch = 92; rougue = 0.890761; epsilon = 0.100000; loss = 0.082166	
epoch = 93; rougue = 0.843133; epsilon = 0.100000; loss = 0.097232	
epoch = 94; rougue = 0.855996; epsilon = 0.100000; loss = 0.080171	
epoch = 95; rougue = 0.854858; epsilon = 0.100000; loss = 0.073713	
epoch = 96; rougue = 0.860136; epsilon = 0.100000; loss = 0.076519	
epoch = 97; rougue = 0.862665; epsilon = 0.100000; loss = 4.282528	
epoch = 98; rougue = 0.727191; epsilon = 0.100000; loss = 0.119896	
epoch = 99; rougue = 0.844780; epsilon = 0.100000; loss = 0.105897	
epoch = 100; rougue = 0.839402; epsilon = 0.100000; loss = 0.115272	
epoch = 101; rougue = 0.912594; epsilon = 0.100000; loss = 0.050263	
epoch = 102; rougue = 0.873837; epsilon = 0.100000; loss = 0.067987	
epoch = 103; rougue = 0.915555; epsilon = 0.080000; loss = 0.064687	
epoch = 104; rougue = 0.836206; epsilon = 0.060000; loss = 0.083142	
epoch = 105; rougue = 0.882989; epsilon = 0.040000; loss = 0.050935	
epoch = 106; rougue = 0.901789; epsilon = 0.020000; loss = 0.062689	
epoch = 107; rougue = 0.896704; epsilon = 0.000000; loss = 0.051706	
epoch = 108; rougue = 0.839804; epsilon = 0.000000; loss = 0.052756	
epoch = 109; rougue = 0.906432; epsilon = 0.000000; loss = 0.055689	
epoch = 110; rougue = 0.900441; epsilon = 0.000000; loss = 0.060200	
epoch = 111; rougue = 0.912506; epsilon = 0.000000; loss = 0.051111	
epoch = 112; rougue = 0.842169; epsilon = 0.000000; loss = 0.058570	
epoch = 113; rougue = 0.913764; epsilon = 0.000000; loss = 0.053253	
epoch = 114; rougue = 0.908466; epsilon = 0.000000; loss = 0.057727	
epoch = 115; rougue = 0.918754; epsilon = 0.000000; loss = 0.046768	
epoch = 116; rougue = 0.857844; epsilon = 0.000000; loss = 0.053858	
epoch = 117; rougue = 0.812347; epsilon = 0.000000; loss = 0.060025	
epoch = 118; rougue = 0.921102; epsilon = 0.000000; loss = 0.059950	
epoch = 119; rougue = 0.908640; epsilon = 0.000000; loss = 0.069764	
epoch = 120; rougue = 0.914556; epsilon = 0.000000; loss = 0.051884	
epoch = 121; rougue = 0.860426; epsilon = 0.000000; loss = 0.054648	
epoch = 122; rougue = 0.912253; epsilon = 0.000000; loss = 0.061467	
epoch = 123; rougue = 0.914431; epsilon = 0.000000; loss = 0.063701	
epoch = 124; rougue = 0.914891; epsilon = 0.000000; loss = 0.046272	
epoch = 125; rougue = 0.911442; epsilon = 0.000000; loss = 0.048154	
epoch = 126; rougue = 0.836791; epsilon = 0.000000; loss = 0.061686	
epoch = 127; rougue = 0.911163; epsilon = 0.000000; loss = 0.056608	
epoch = 128; rougue = 0.907743; epsilon = 0.000000; loss = 0.057116	
epoch = 129; rougue = 0.816507; epsilon = 0.000000; loss = 0.060324	
epoch = 130; rougue = 0.901451; epsilon = 0.000000; loss = 0.059434	
epoch = 131; rougue = 0.913358; epsilon = 0.000000; loss = 0.065087	
epoch = 132; rougue = 0.913311; epsilon = 0.000000; loss = 0.061628	
epoch = 133; rougue = 0.842078; epsilon = 0.000000; loss = 0.058440	
epoch = 134; rougue = 0.914550; epsilon = 0.000000; loss = 0.068941	
epoch = 135; rougue = 0.917422; epsilon = 0.000000; loss = 0.064697	
epoch = 136; rougue = 0.916996; epsilon = 0.000000; loss = 0.042796	
epoch = 137; rougue = 0.902959; epsilon = 0.000000; loss = 0.056715	
epoch = 138; rougue = 0.790225; epsilon = 0.000000; loss = 0.060147	
epoch = 139; rougue = 0.919918; epsilon = 0.000000; loss = 0.066489	
epoch = 140; rougue = 0.873842; epsilon = 0.000000; loss = 0.056387	
epoch = 141; rougue = 0.918115; epsilon = 0.000000; loss = 35.842759	
epoch = 142; rougue = 0.655656; epsilon = 0.000000; loss = 1.440837	
epoch = 143; rougue = 0.740228; epsilon = 0.000000; loss = 0.779808	
epoch = 144; rougue = 0.828873; epsilon = 0.000000; loss = 0.401505	
epoch = 145; rougue = 0.880563; epsilon = 0.000000; loss = 0.376214	
epoch = 146; rougue = 0.910256; epsilon = 0.000000; loss = 0.153719	
epoch = 147; rougue = 0.899429; epsilon = 0.000000; loss = 0.111379	
epoch = 148; rougue = 0.912060; epsilon = 0.000000; loss = 0.046510	
epoch = 149; rougue = 0.922205; epsilon = 0.000000; loss = 0.050854	
epoch = 150; rougue = 0.918106; epsilon = 0.000000; loss = 0.058692	
epoch = 151; rougue = 0.924281; epsilon = 0.000000; loss = 0.054330	
epoch = 152; rougue = 0.914857; epsilon = 0.000000; loss = 0.075530	
epoch = 153; rougue = 0.921087; epsilon = 0.000000; loss = 0.404109	
epoch = 154; rougue = 0.842002; epsilon = 0.000000; loss = 0.049554	
epoch = 155; rougue = 0.910070; epsilon = 0.000000; loss = 0.095020	
epoch = 156; rougue = 0.924293; epsilon = 0.000000; loss = 0.055526	
epoch = 157; rougue = 0.918691; epsilon = 0.000000; loss = 0.045935	
epoch = 158; rougue = 0.914443; epsilon = 0.000000; loss = 0.050652	
epoch = 159; rougue = 0.920137; epsilon = 0.000000; loss = 0.058545	
epoch = 160; rougue = 0.828360; epsilon = 0.000000; loss = 0.072816	
epoch = 161; rougue = 0.860765; epsilon = 0.000000; loss = 0.064508	
epoch = 162; rougue = 0.909860; epsilon = 0.000000; loss = 0.059461	
epoch = 163; rougue = 0.907891; epsilon = 0.000000; loss = 0.057460	
